"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",7163000,7166483,3484,"*","IL7-H_H3k27ac_S295_peak_11",39,".",4.1836,6.33344,3.94805,"Promoter (2-3kb)",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",2443,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7396656,7398548,1893,"*","IL7-H_H3k27ac_S295_peak_12",39,".",4.14799,6.32449,3.95912,"Exon (ENSMUST00000181554.1/ENSMUST00000181554.1, exon 1 of 3)",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",236099,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",9544985,9547458,2474,"*","IL7-H_H3k27ac_S295_peak_13",16,".",3.08219,3.86737,1.67393,"Promoter (<=1kb)",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079.8",0,"ENSMUSG00000061024","Rrs1","ribosome biogenesis regulator 1"
"chr1",9638130,9640684,2555,"*","IL7-H_H3k27ac_S295_peak_14",45,".",4.76515,6.94189,4.53351,"Exon (ENSMUST00000191209.1/ENSMUST00000191209.1, exon 1 of 2)",1,9601018,9631175,30158,2,"72481","ENSMUST00000153239.7",-6955,NA,"2610203C22Rik","RIKEN cDNA 2610203C22 gene"
"chr1",9666178,9668386,2209,"*","IL7-H_H3k27ac_S295_peak_15",43,".",4.44548,6.76939,4.34952,"3' UTR",1,9676132,9678610,2479,2,"17864","ENSMUST00000160022.1",10224,"ENSMUSG00000025912","Mybl1","myeloblastosis oncogene-like 1"
"chr1",9699660,9701524,1865,"*","IL7-H_H3k27ac_S295_peak_16",76,".",6.57904,10.3048,7.69607,"Promoter (<=1kb)",1,9667415,9700209,32795,2,"17864","ENSMUST00000088658.10",0,"ENSMUSG00000025912","Mybl1","myeloblastosis oncogene-like 1"
"chr1",9744663,9745965,1303,"*","IL7-H_H3k27ac_S295_peak_17",21,".",3.11506,4.39447,2.1215,"Promoter (1-2kb)",1,9747648,9791922,44275,1,"73331","ENSMUST00000181821.7",-1683,NA,"1700034P13Rik","RIKEN cDNA 1700034P13 gene"
"chr1",9747090,9748523,1434,"*","IL7-H_H3k27ac_S295_peak_18",75,".",5.94041,10.1424,7.52578,"Promoter (<=1kb)",1,9718622,9748382,29761,2,"70675","ENSMUST00000057438.6",0,"ENSMUSG00000045210","Vcpip1","valosin containing protein (p97)/p47 complex interacting protein 1"
"chr1",9797705,9799218,1514,"*","IL7-H_H3k27ac_S295_peak_19",158,".",9.82449,18.8881,15.8674,"Promoter (<=1kb)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",0,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9822899,9824009,1111,"*","IL7-H_H3k27ac_S295_peak_20",45,".",4.49852,6.99619,4.54097,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848272,9900843,52572,1,"170755","ENSMUST00000171265.7",-24263,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9832621,9833811,1191,"*","IL7-H_H3k27ac_S295_peak_21",27,".",3.49964,5.1142,2.78959,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848272,9900843,52572,1,"170755","ENSMUST00000171265.7",-14461,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9848057,9849814,1758,"*","IL7-H_H3k27ac_S295_peak_22",63,".",5.44127,8.85025,6.31145,"Promoter (<=1kb)",1,9848272,9900843,52572,1,"170755","ENSMUST00000171265.7",0,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9854754,9855114,361,"*","IL7-H_H3k27ac_S295_peak_23",28,".",3.57198,5.2028,2.89892,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848397,9899853,51457,1,"170755","ENSMUST00000097826.5",6357,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9858665,9859827,1163,"*","IL7-H_H3k27ac_S295_peak_24",21,".",3.11956,4.40888,2.1706,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848397,9899853,51457,1,"170755","ENSMUST00000097826.5",10268,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9943509,9944409,901,"*","IL7-H_H3k27ac_S295_peak_25",64,".",5.53157,9.04698,6.46053,"Promoter (<=1kb)",1,9941959,9944118,2160,2,"73824","ENSMUST00000182580.7",0,"ENSMUSG00000098234","Snhg6","small nucleolar RNA host gene 6"
"chr1",10037450,10040921,3472,"*","IL7-H_H3k27ac_S295_peak_26",151,".",9.32012,18.1512,15.1958,"Promoter (<=1kb)",1,10038006,10047534,9529,1,"211660","ENSMUST00000191012.6",0,"ENSMUSG00000056763","Cspp1","centrosome and spindle pole associated protein 1"
"chr1",10232226,10233583,1358,"*","IL7-H_H3k27ac_S295_peak_27",53,".",5.38288,7.88367,5.39654,"Promoter (<=1kb)",1,10137571,10232670,95100,2,"211673","ENSMUST00000088615.10",0,"ENSMUSG00000067851","Arfgef1","ARF guanine nucleotide exchange factor 1"
"chr1",12982920,12985846,2927,"*","IL7-H_H3k27ac_S295_peak_28",20,".",3.0307,4.24691,2.00117,"Intron (ENSMUST00000188454.6/240726, intron 2 of 9)",1,12879683,12990914,111232,2,"240726","ENSMUST00000146763.7",5068,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",12991054,12993279,2226,"*","IL7-H_H3k27ac_S295_peak_29",54,".",5.36671,7.8971,5.43641,"Promoter (<=1kb)",1,12866549,12992650,126102,2,"240726","ENSMUST00000188454.6",0,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",13000157,13003420,3264,"*","IL7-H_H3k27ac_S295_peak_30",77,".",6.19035,10.4487,7.7937,"Distal Intergenic",1,12866549,12992650,126102,2,"240726","ENSMUST00000188454.6",-7507,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",13162166,13163629,1464,"*","IL7-H_H3k27ac_S295_peak_31",18,".",2.95042,4.00915,1.82249,"Exon (ENSMUST00000081713.10/17978, exon 13 of 22)",1,13148429,13151018,2590,2,"17978","ENSMUST00000133232.1",-11148,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13266564,13266967,404,"*","IL7-H_H3k27ac_S295_peak_32",14,".",2.69523,3.65479,1.46386,"Intron (ENSMUST00000081713.10/17978, intron 2 of 21)",1,13190106,13299722,109617,2,"17978","ENSMUST00000145280.1",32755,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13372035,13374860,2826,"*","IL7-H_H3k27ac_S295_peak_33",122,".",8.58187,15.1118,12.2457,"Promoter (<=1kb)",1,13139105,13372439,233335,2,"17978","ENSMUST00000081713.10",0,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13572159,13575290,3132,"*","IL7-H_H3k27ac_S295_peak_34",97,".",7.34947,12.5305,9.78082,"Intron (ENSMUST00000027068.10/72265, intron 6 of 10)",1,13576144,13579798,3655,2,"72265","ENSMUST00000185447.1",4508,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13588232,13590800,2569,"*","IL7-H_H3k27ac_S295_peak_35",200,".",11.3389,23.1788,20.021,"Promoter (<=1kb)",1,13564698,13589910,25213,2,"72265","ENSMUST00000027068.10",0,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13592968,13594637,1670,"*","IL7-H_H3k27ac_S295_peak_36",41,".",4.30959,6.531,4.11376,"Distal Intergenic",1,13564698,13589910,25213,2,"72265","ENSMUST00000027068.10",-3058,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13597354,13600900,3547,"*","IL7-H_H3k27ac_S295_peak_37",75,".",6.33563,10.1203,7.51246,"Distal Intergenic",1,13564698,13589910,25213,2,"72265","ENSMUST00000027068.10",-7444,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13602046,13602316,271,"*","IL7-H_H3k27ac_S295_peak_38",17,".",2.89219,4.00858,1.76872,"Distal Intergenic",1,13564698,13589910,25213,2,"72265","ENSMUST00000027068.10",-12136,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13659399,13661964,2566,"*","IL7-H_H3k27ac_S295_peak_39",51,".",4.71207,7.58708,5.11738,"Promoter (<=1kb)",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",0,"ENSMUSG00000025937","Lactb2","lactamase, beta 2"
"chr1",13747292,13747956,665,"*","IL7-H_H3k27ac_S295_peak_40",38,".",4.41291,6.22591,3.85897,"Distal Intergenic",1,13785883,13786879,997,2,"433273","ENSMUST00000180415.1",38923,"ENSMUSG00000097711","Gm5523","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"chr1",13770837,13772492,1656,"*","IL7-H_H3k27ac_S295_peak_41",73,".",6.5639,10.0005,7.39357,"Distal Intergenic",1,13785883,13786879,997,2,"433273","ENSMUST00000180415.1",14387,"ENSMUSG00000097711","Gm5523","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"chr1",14149925,14150235,311,"*","IL7-H_H3k27ac_S295_peak_42",12,".",2.62609,3.364,1.2771,"Distal Intergenic",1,14207926,14231492,23567,2,"14048","ENSMUST00000189526.1",81257,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",14151507,14151855,349,"*","IL7-H_H3k27ac_S295_peak_43",12,".",2.62609,3.364,1.2771,"Distal Intergenic",1,14207926,14231492,23567,2,"14048","ENSMUST00000189526.1",79637,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",14454482,14455268,787,"*","IL7-H_H3k27ac_S295_peak_44",14,".",2.6996,3.67511,1.46386,"Distal Intergenic",1,14168958,14310235,141278,2,"14048","ENSMUST00000168081.8",-144247,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",14464105,14465964,1860,"*","IL7-H_H3k27ac_S295_peak_45",45,".",4.48146,6.97711,4.52303,"Distal Intergenic",1,14168958,14310235,141278,2,"14048","ENSMUST00000168081.8",-153870,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",15805107,15806617,1511,"*","IL7-H_H3k27ac_S295_peak_46",196,".",11.5226,22.8727,19.6376,"Promoter (<=1kb)",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",0,"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1"
"chr1",15848878,15851314,2437,"*","IL7-H_H3k27ac_S295_peak_47",37,".",4.07909,6.13137,3.75296,"Distal Intergenic",1,15807641,15822103,14463,1,"21749","ENSMUST00000188684.1",41237,"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1"
"chr1",16103832,16106079,2248,"*","IL7-H_H3k27ac_S295_peak_48",67,".",5.98752,9.24819,6.70401,"Promoter (<=1kb)",1,16101295,16104662,3368,2,"19989","ENSMUST00000058437.13",0,"ENSMUSG00000043716","Rpl7","ribosomal protein L7"
"chr1",16226847,16227195,349,"*","IL7-H_H3k27ac_S295_peak_49",12,".",2.62609,3.364,1.2771,"Distal Intergenic",1,16130502,16132547,2046,1,"98711","ENSMUST00000152626.1",96345,"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans)"
"chr1",16297311,16298398,1088,"*","IL7-H_H3k27ac_S295_peak_50",45,".",4.89918,6.91542,4.50693,"Intron (ENSMUST00000162751.7/29819, intron 12 of 13)",1,16344198,16375395,31198,2,"29819","ENSMUST00000115360.7",76997,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16344526,16346843,2318,"*","IL7-H_H3k27ac_S295_peak_51",26,".",3.41259,4.9562,2.64422,"3' UTR",1,16344198,16375395,31198,2,"29819","ENSMUST00000115360.7",28552,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16518586,16519629,1044,"*","IL7-H_H3k27ac_S295_peak_52",43,".",4.41858,6.8375,4.39105,"Promoter (<=1kb)",1,16228674,16519306,290633,2,"29819","ENSMUST00000162751.7",0,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16540429,16541588,1160,"*","IL7-H_H3k27ac_S295_peak_53",22,".",3.156,4.47917,2.20111,"3' UTR",1,16228816,16520112,291297,2,"29819","ENSMUST00000162435.7",-20317,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16549614,16550926,1313,"*","IL7-H_H3k27ac_S295_peak_54",16,".",2.8988,3.81627,1.67609,"Intron (ENSMUST00000182554.8/66799, intron 5 of 6)",1,16228816,16520112,291297,2,"29819","ENSMUST00000162435.7",-29502,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16617376,16619677,2302,"*","IL7-H_H3k27ac_S295_peak_55",141,".",9.01388,17.1384,14.198,"Promoter (<=1kb)",1,16540790,16619312,78523,2,"66799","ENSMUST00000182554.8",0,"ENSMUSG00000025939","Ube2w","ubiquitin-conjugating enzyme E2W (putative)"
"chr1",16656137,16657518,1382,"*","IL7-H_H3k27ac_S295_peak_56",56,".",5.0606,8.18866,5.66749,"Promoter (<=1kb)",1,16641725,16656884,15160,2,"67923","ENSMUST00000188641.6",0,"ENSMUSG00000079658","Eloc","elongin C"
"chr1",16665275,16666007,733,"*","IL7-H_H3k27ac_S295_peak_57",39,".",4.42158,6.26739,3.90657,"Promoter (<=1kb)",1,16665236,16665811,576,1,"70397","ENSMUST00000176451.1",39,"ENSMUSG00000025940","Tmem70","transmembrane protein 70"
"chr1",16687961,16689246,1286,"*","IL7-H_H3k27ac_S295_peak_58",39,".",4.17672,6.33413,3.94764,"Promoter (<=1kb)",1,16688051,16691947,3897,1,"17087","ENSMUST00000191260.1",0,"ENSMUSG00000025779","Ly96","lymphocyte antigen 96"
"chr1",20819826,20820864,1039,"*","IL7-H_H3k27ac_S295_peak_59",30,".",4.11775,5.37906,3.07739,"Promoter (<=1kb)",1,20802968,20820312,17345,2,"17215","ENSMUST00000053266.10",0,"ENSMUSG00000041859","Mcm3","minichromosome maintenance complex component 3"
"chr1",21078803,21079658,856,"*","IL7-H_H3k27ac_S295_peak_60",32,".",3.76213,5.6037,3.24458,"Promoter (<=1kb)",1,20996299,21079229,82931,2,"170829","ENSMUST00000037998.5",0,"ENSMUSG00000041779","Tram2","translocating chain-associating membrane protein 2"
"chr1",21218478,21218989,512,"*","IL7-H_H3k27ac_S295_peak_61",56,".",5.09515,8.14888,5.61512,"Promoter (<=1kb)",1,21218575,21230167,11593,1,"75712","ENSMUST00000027065.11",0,"ENSMUSG00000025933","Tmem14a","transmembrane protein 14A"
"chr1",21766040,21766416,377,"*","IL7-H_H3k27ac_S295_peak_62",14,".",2.6996,3.67511,1.46386,"Intron (ENSMUST00000029667.12/226922, intron 1 of 13)",1,21577644,21855902,278259,2,"226922","ENSMUST00000134505.1",89486,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",21880683,21881275,593,"*","IL7-H_H3k27ac_S295_peak_63",22,".",3.21858,4.57777,2.28971,"Intron (ENSMUST00000029667.12/226922, intron 1 of 13)",1,21577644,21855902,278259,2,"226922","ENSMUST00000134505.1",-24781,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",21959334,21963820,4487,"*","IL7-H_H3k27ac_S295_peak_64",131,".",9.06565,16.0787,13.1428,"Promoter (<=1kb)",1,21398403,21961581,563179,2,"226922","ENSMUST00000029667.12",0,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",22115057,22115674,618,"*","IL7-H_H3k27ac_S295_peak_65",18,".",2.92565,4.04629,1.83265,"Distal Intergenic",1,21398408,21961942,563535,2,"226922","ENSMUST00000115300.7",-153115,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",23380085,23380405,321,"*","IL7-H_H3k27ac_S295_peak_66",16,".",2.81834,3.88069,1.65181,"Promoter (<=1kb)",1,23369724,23380801,11078,2,"70155","ENSMUST00000186064.6",396,"ENSMUSG00000026158","Ogfrl1","opioid growth factor receptor-like 1"
"chr1",23382441,23384056,1616,"*","IL7-H_H3k27ac_S295_peak_67",41,".",4.29951,6.61438,4.19271,"Promoter (<=1kb)",1,23366424,23383175,16752,2,"70155","ENSMUST00000027343.5",0,"ENSMUSG00000026158","Ogfrl1","opioid growth factor receptor-like 1"
"chr1",23574677,23577849,3173,"*","IL7-H_H3k27ac_S295_peak_68",61,".",5.37442,8.6437,6.11032,"Promoter (<=1kb)",1,23574587,23596664,22078,1,"105243890","ENSMUST00000191140.1",90,"ENSMUSG00000099503","Gm28822","predicted gene 28822"
"chr1",23716351,23716785,435,"*","IL7-H_H3k27ac_S295_peak_69",13,".",2.642,3.43072,1.32136,"Distal Intergenic",1,23761753,23815740,53988,1,"280645","ENSMUST00000144602.1",-44968,"ENSMUSG00000026156","B3gat2","beta-1,3-glucuronyltransferase 2"
"chr1",23921487,23922631,1145,"*","IL7-H_H3k27ac_S295_peak_70",28,".",3.98007,5.1757,2.89873,"Promoter (<=1kb)",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",0,"ENSMUSG00000026155","Smap1","small ArfGAP 1"
"chr1",24005111,24005841,731,"*","IL7-H_H3k27ac_S295_peak_71",29,".",3.56449,5.23853,2.90605,"Promoter (<=1kb)",1,23995939,24005656,9718,2,"68002","ENSMUST00000027338.3",0,"ENSMUSG00000026154","Sdhaf4","succinate dehydrogenase complex assembly factor 4"
"chr1",24678497,24679258,762,"*","IL7-H_H3k27ac_S295_peak_72",37,".",4.07483,6.13194,3.76766,"Promoter (<=1kb)",1,24678630,24765448,86819,1,"68421","ENSMUST00000191471.6",0,"ENSMUSG00000073725","Lmbrd1","LMBR1 domain containing 1"
"chr1",24684895,24685632,738,"*","IL7-H_H3k27ac_S295_peak_73",14,".",2.69167,3.63896,1.45952,"5' UTR",1,24678926,24766301,87376,1,"68421","ENSMUST00000095062.9",5969,"ENSMUSG00000073725","Lmbrd1","LMBR1 domain containing 1"
"chr1",30872500,30874655,2156,"*","IL7-H_H3k27ac_S295_peak_74",109,".",7.53313,13.6845,10.9292,"Promoter (<=1kb)",1,30802339,30873581,71243,2,"213109","ENSMUST00000186733.6",0,"ENSMUSG00000048874","Phf3","PHD finger protein 3"
"chr1",30948880,30950351,1472,"*","IL7-H_H3k27ac_S295_peak_75",69,".",6.10174,9.53751,6.9379,"Promoter (<=1kb)",1,30940302,30949309,9008,2,"19243","ENSMUST00000232841.1",0,"ENSMUSG00000026064","Ptp4a1","protein tyrosine phosphatase 4a1"
"chr1",31205432,31205778,347,"*","IL7-H_H3k27ac_S295_peak_76",14,".",2.6996,3.67511,1.46386,"Intron (ENSMUST00000233331.1/70988, intron 1 of 4)",1,31189470,31204725,15256,1,"266744","ENSMUST00000161773.2",15962,"ENSMUSG00000050217","Lgsn","lengsin, lens protein with glutamine synthetase domain"
"chr1",32745036,32745522,487,"*","IL7-H_H3k27ac_S295_peak_77",19,".",3.00851,4.20998,1.95285,"Distal Intergenic",1,32543686,32547294,3609,2,"408191","ENSMUST00000171322.2",-197742,"ENSMUSG00000091318","Semp2l1","SUMO/sentrin specific peptidase 2-like 1"
"chr1",33106364,33107076,713,"*","IL7-H_H3k27ac_S295_peak_78",25,".",3.37421,4.82819,2.55641,"Distal Intergenic",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",515066,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33280521,33284204,3684,"*","IL7-H_H3k27ac_S295_peak_79",106,".",7.51174,13.4696,10.6685,"Distal Intergenic",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",337938,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33563962,33564601,640,"*","IL7-H_H3k27ac_S295_peak_80",22,".",3.17453,4.51943,2.23919,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",57541,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33574665,33575063,399,"*","IL7-H_H3k27ac_S295_peak_81",14,".",2.6996,3.67511,1.46386,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",47079,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33576900,33580596,3697,"*","IL7-H_H3k27ac_S295_peak_82",110,".",7.64362,13.8637,11.0529,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",41546,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33590687,33591642,956,"*","IL7-H_H3k27ac_S295_peak_83",23,".",3.2853,4.68948,2.39124,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",30500,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33593266,33597607,4342,"*","IL7-H_H3k27ac_S295_peak_84",96,".",7.07304,12.4041,9.66476,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",24535,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33668393,33670429,2037,"*","IL7-H_H3k27ac_S295_peak_85",54,".",4.9293,7.94081,5.4446,"Promoter (<=1kb)",1,33453810,33669795,215986,2,"19076","ENSMUST00000027312.10",0,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33756543,33757834,1292,"*","IL7-H_H3k27ac_S295_peak_86",48,".",4.62429,7.32905,4.87627,"Promoter (<=1kb)",1,33745484,33757795,12312,2,"213539","ENSMUST00000044691.8",0,"ENSMUSG00000042215","Bag2","BCL2-associated athanogene 2"
"chr1",33813941,33814674,734,"*","IL7-H_H3k27ac_S295_peak_87",30,".",3.71103,5.4565,3.09714,"Promoter (<=1kb)",1,33761545,33814385,52841,2,"98403","ENSMUST00000139143.7",0,"ENSMUSG00000042197","Zfp451","zinc finger protein 451"
"chr1",34177924,34178614,691,"*","IL7-H_H3k27ac_S295_peak_88",40,".",4.30258,6.38081,4.00872,"Exon (ENSMUST00000183302.5/13518, exon 23 of 24)",1,34160330,34308404,148075,1,"13518","ENSMUST00000185269.6",17594,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34438989,34440278,1290,"*","IL7-H_H3k27ac_S295_peak_89",39,".",4.17945,6.35986,3.94472,"Promoter (<=1kb)",1,34439851,34449356,9506,1,"27993","ENSMUST00000027303.13",0,"ENSMUSG00000026127","Imp4","IMP4, U3 small nucleolar ribonucleoprotein"
"chr1",34458933,34459358,426,"*","IL7-H_H3k27ac_S295_peak_90",14,".",2.6996,3.67511,1.46386,"Promoter (<=1kb)",1,34459765,34473784,14020,1,"19253","ENSMUST00000027302.13",-407,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34472024,34473757,1734,"*","IL7-H_H3k27ac_S295_peak_91",38,".",4.11925,6.26308,3.85484,"Promoter (<=1kb)",1,34472720,34475733,3014,1,"19253","ENSMUST00000188972.2",0,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34479166,34481941,2776,"*","IL7-H_H3k27ac_S295_peak_92",38,".",4.09045,6.18996,3.8165,"Exon (ENSMUST00000188292.6/ENSMUST00000188292.6, exon 3 of 5)",1,34472720,34475733,3014,1,"19253","ENSMUST00000188972.2",6446,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34483277,34484290,1014,"*","IL7-H_H3k27ac_S295_peak_93",28,".",3.55057,5.19729,2.87764,"Intron (ENSMUST00000188292.6/ENSMUST00000188292.6, intron 2 of 4)",1,34472720,34475733,3014,1,"19253","ENSMUST00000188972.2",10557,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
